2023-01-08 13:01:43 | 8
2023-01-08 13:01:44 | 85
2023-01-08 13:01:45 | 85-
2023-01-08 13:01:46 | 85-8
2023-01-08 13:01:49 | 77
2023-01-08 13:47:20 | 5
2023-01-08 13:47:22 | 5*
2023-01-08 13:47:23 | 5*3
2023-01-08 13:47:24 | 5*3*
2023-01-08 13:47:25 | 5*3*3
2023-01-08 13:47:27 | 5*3*3/
2023-01-08 13:47:28 | 5*3*3/3
2023-01-08 13:47:29 | 15.0
2023-01-08 13:48:36 | 6*
2023-01-08 13:48:36 | 6*
2023-01-08 13:48:37 | 6*0
2023-01-08 13:48:38 | 6*0.
2023-01-08 13:48:38 | 6*0.3
2023-01-08 13:48:42 | 1.7999999999999998
2023-01-08 13:48:52 | 
2023-01-08 13:48:53 | 6
2023-01-08 13:48:54 | 6*
2023-01-08 13:48:57 | 6*0
2023-01-08 13:48:57 | 6*0.
2023-01-08 13:48:59 | 6*0.3
2023-01-08 13:49:00 | 1.7999999999999998
2023-01-08 13:49:49 | 
2023-01-08 13:49:51 | 5
2023-01-08 13:49:54 | 5*
2023-01-08 13:49:55 | 5*0
2023-01-08 13:49:56 | 5*0.
2023-01-08 13:49:57 | 5*0.5
2023-01-08 13:49:59 | 2.5
2023-01-08 13:50:05 | 
2023-01-08 13:50:06 | 2
2023-01-08 13:50:07 | 2*
2023-01-08 13:50:09 | 2*0
2023-01-08 13:50:09 | 2*0.
2023-01-08 13:50:10 | 2*0.3
2023-01-08 13:50:11 | 0.6
2023-01-08 13:50:13 | 
